Region,Province,Secteur,Localite,Statut_P_sergenti,Details_localites_dates,Source,recherche manuel 
Fès-Meknès,Taza,,,"Oui (capture entomologique confirmée, à de multiples reprises)","Plusieurs études 1991-2018 ; P. sergenti 2e espèce la plus abondante, infecté par L. tropica",Parasite 1991 ; PLOS NTD 2018 (PMC) ; Parasites & Vectors 2016 (Springer)
Guelmim-Oued Noun,Guelmim,,,Aucune documentation trouvée,,-
Guelmim-Oued Noun,Sidi Ifni,,,Aucune documentation trouvée,,-
Marrakech-Safi,Al Haouz,,,Oui (capture entomologique confirmée),"Communes Ourika, Setti Fatma, Rhmate ; 3440 phlébotomes collectés 2005-2007, P. sergenti = 12,8%",ResearchGate - Phlebotomine sandflies of southern Morocco
Marrakech-Safi,Chichaoua,,,Oui (capture entomologique confirmée),Localité Lalla Aziza ; foyer CL depuis 2000,Parasites & Vectors 2012 (PMC3359231)
Marrakech-Safi,El Kelâa des Sraghna,,,Aucune documentation trouvée,,-
Marrakech-Safi,Essaouira,,,Oui (capture confirmée / étude génétique),"Un des 3 foyers historiques (avec Azilal, Taza) ; foyer actif depuis 1988, 25 communes touchées en 2023",Parasite 2004 (parasite2004112p189) ; Frontiers in Epidemiology 2024
Marrakech-Safi,Marrakech,,,Oui (capture entomologique confirmée),"Région Marrakech-Tensift-Al Haouz, P. sergenti = 20,1 à 23,07% des captures selon les études",ScienceDirect (Acta Tropica) ; PLOS NTD 2016 (PMC4736259)
Marrakech-Safi,Rehamna,,,Aucune documentation trouvée,,-
Marrakech-Safi,Safi,,,Aucune documentation trouvée,,-
Marrakech-Safi,Youssoufia,,,Aucune documentation trouvée,,-
Oriental,Berkane,,,Aucune documentation trouvée,,-
Oriental,Driouch,,,Aucune documentation trouvée,,-
Oriental,Guercif,,,Aucune documentation trouvée,,-
Oriental,Nador,,,"Mention indirecte (cas de LC élevés rapportés 2016-2021, pas de capture confirmée trouvée)",,"Frontiers in Epidemiology 2024 (étude Essaouira, comparaison inter-provinces)"
Oriental,Taourirt,,,"Mention indirecte (cas de LC élevés rapportés 2016-2021, pas de capture confirmée trouvée)",,"Frontiers in Epidemiology 2024 (étude Essaouira, comparaison inter-provinces)"
Rabat-Salé-Kénitra,Khemisset,,,"Oui (population étudiée génétiquement, confirmant la présence)","Commune Ait Siberne, vallée de l'Oued Beht",Parasite 2004 (parasite2004112p189)
Rabat-Salé-Kénitra,Kénitra,,,Aucune documentation trouvée,,-
Rabat-Salé-Kénitra,Salé,,,Aucune documentation trouvée,,-
Rabat-Salé-Kénitra,Sidi Kacem,,,"Mention indirecte (foyer CL documenté 1997-2012, vecteur principal local incertain - L. infantum aussi présent)",,ResearchGate - Cutaneous leishmaniasis in Ouazzane and Sidi Kacem provinces
Rabat-Salé-Kénitra,Sidi Slimane,,,Aucune documentation trouvée,,-
Souss-Massa,Agadir-Ida Ou Tanane,,,Aucune documentation trouvée,,-
Souss-Massa,Chtouka-Aït Baha,,,Aucune documentation trouvée,,-
Souss-Massa,Inezgane-Aït Melloul,,,Aucune documentation trouvée,,-
Souss-Massa,Taroudant,,,Aucune documentation trouvée,,-
Souss-Massa,Tata,,,"Mention ancienne non confirmée (inventaire historique ORSTOM mentionne la zone, espèce non clairement rattachée)",Document historique (Rioux et al.) mentionne des captures dans le Sud marocain,IRD/ORSTOM - Contribution à l'étude des Phlébotomes du Maroc
Souss-Massa,Tiznit,,,Aucune documentation trouvée,,-
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,,,"Mention indirecte (zymodème canin L. tropica MON-279 détecté, pas de capture confirmée trouvée)",,ResearchGate - Leishmaniasis due to L. tropica MON-102
Tanger-Tétouan-Al Hoceïma,Chefchaouen,,,"Oui (population étudiée génétiquement, confirmant la présence)","Site utilisé pour étude de variabilité isoenzymatique + province la plus touchée par la LV (54,5% des cas régionaux)",ResearchGate - Phlebotomine sandflies of southern Morocco
Tanger-Tétouan-Al Hoceïma,Fahs-Anjra,,,Aucune documentation trouvée,,-
Tanger-Tétouan-Al Hoceïma,Larache,,,"Mention indirecte (citée parmi les zones de cas de LC, pas de capture confirmée trouvée)",,ResearchGate - Cutaneous leishmaniasis in Ouazzane and Sidi Kacem provinces
Tanger-Tétouan-Al Hoceïma,M'diq-Fnideq,,,Aucune documentation trouvée,,-
Tanger-Tétouan-Al Hoceïma,Ouezzane,,,"Mention indirecte (foyer CL documenté 1997-2012, pas de capture confirmée trouvée)",,ResearchGate - Cutaneous leishmaniasis in Ouazzane and Sidi Kacem provinces
Tanger-Tétouan-Al Hoceïma,Tanger-Assilah,,,Aucune documentation trouvée,,-
Tanger-Tétouan-Al Hoceïma,Tétouan,,,Oui (capture entomologique confirmée),8370 spécimens collectés mai-nov 2015 ; P. sergenti dominant à 51% dans la zone endémique (ville de Tétouan),ResearchGate - Entomological investigations Tetouan province
